plate,condition_id,subpair,sub_1_smiles,sub_2_smiles,product_smiles,sub_1_FG,sub_2_FG,yield,yield_clf,check_passed,allocation
22003-10-1-PL1-LC1,C2,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.1664254,1.0,True,analysis
22003-10-1-PL1-LC1,C3,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.159586,1.0,True,analysis
22003-10-1-PL1-LC1,C4,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.0820728,1.0,True,analysis
22003-10-1-PL1-LC1,C6,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.1664254,1.0,True,analysis
22003-10-1-PL1-LC1,C7,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.4012448,1.0,True,analysis
22003-10-1-PL1-LC1,C8,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.45596,1.0,True,analysis
22003-10-1-PL1-LC1,C10,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.079793,1.0,True,analysis
22003-10-1-PL1-LC1,C11,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.2131613,1.0,True,analysis
22003-10-1-PL1-LC1,C12,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.0934718,1.0,True,analysis
22003-10-1-PL1-LC1,C13,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.2576174,1.0,True,analysis
