acid_smiles,fold
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,2
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,2
CC(C)(C(=O)O)c1ccccc1,0
CC(C)(C)OC(=O)N1CC2(CC2)C[C@H]1C(=O)O,4
CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)O,2
CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1,0
CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,0
CC1(C)C(C(=O)O)C1(C)C,1
COc1cc(C(=O)O)cc(OC)c1OC,0
COc1ccc(C(=O)O)cc1,0
COc1ccc(CC(=O)O)cc1,0
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,4
COc1ncc(Br)cc1C(=O)O,1
C[C@H](NC(=O)OCc1ccccc1)C(=O)O,0
Cc1c(C(=O)O)oc2ccccc12,4
Cc1cc(C(=O)O)cc(Cl)n1,1
Cc1cc(C)c(C(=O)O)c(C)c1,0
Cc1cc(C)cc(C(=O)O)c1,0
Cc1ccc(C(=O)O)c2ccccc12,4
Cc1ccc(C(=O)O)cc1,0
Cc1ccc(C(=O)O)cc1F,0
Cc1ccc(CC(=O)O)cc1,0
Cc1ccc(F)cc1C(=O)O,0
Cc1ccc2cc(C(=O)O)ccc2n1,3
Cc1cccc(C)c1C(=O)O,0
Cn1cc(C(=O)O)c(C(F)F)n1,2
Cn1ccnc1C(=O)O,4
N#Cc1ccc(C(=O)O)cc1,0
N#Cc1ccc(CC(=O)O)cc1,0
O=C(O)/C=C/c1ccccc1,0
O=C(O)C(c1ccccc1)c1ccccc1,4
O=C(O)C1(c2ccccc2)CC1,3
O=C(O)C1CC=CCC1,2
O=C(O)C1CCC(F)(F)CC1,3
O=C(O)C1CCCN1C(=O)OCc1ccccc1,4
O=C(O)C1CCN(C(=O)OCc2ccccc2)CC1,3
O=C(O)C1CN(C(=O)OCc2ccccc2)C1,1
O=C(O)C1Cc2ccccc2C1,3
O=C(O)C1c2ccccc2Oc2ccccc21,3
O=C(O)COc1ccccc1,0
O=C(O)Cc1c[nH]c2ccccc12,2
O=C(O)Cc1cc(F)cc(F)c1,0
O=C(O)Cc1ccc(C(F)(F)F)cc1,0
O=C(O)Cc1ccc(Cl)c(Cl)c1,0
O=C(O)Cc1ccc([N+](=O)[O-])cc1,0
O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,1
O=C(O)Cc1ccc2c(c1)OCO2,3
O=C(O)[C@@H]1C[C@H]1c1ccccc1,3
O=C(O)c1c(F)c(F)c(F)c(F)c1F,0
O=C(O)c1c[nH]c2ncccc12,1
O=C(O)c1cc(Cl)cc(Cl)n1,1
O=C(O)c1cc2ccccc2o1,4
O=C(O)c1cc2ccccc2s1,2
O=C(O)c1ccc(-c2ccccc2)cc1,2
O=C(O)c1ccc(Br)s1,2
O=C(O)c1ccc(C(F)(F)F)cn1,1
O=C(O)c1ccc(F)cn1,1
O=C(O)c1ccc([N+](=O)[O-])cc1,0
O=C(O)c1ccc([N+](=O)[O-])s1,2
O=C(O)c1ccc2c(c1)OC(F)(F)O2,3
O=C(O)c1ccc2c(c1)OCCO2,4
O=C(O)c1ccc2nccnc2c1,1
O=C(O)c1cccc(-c2ccccc2)c1,2
O=C(O)c1ccccc1Cc1ccccc1,4
O=C(O)c1ccco1,2
O=C(O)c1ccnc(C(F)(F)F)c1,1
O=C(O)c1ccncc1Cl,1
O=C(O)c1cnc(Cl)nc1,3
O=C(O)c1cnccn1,4
O=C(O)c1ncccn1,3
