acid_smiles,amine_smiles,acid_state
Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,C
O=C(O)COc1ccccc1,CC(=O)c1ccc(N)cc1,C
COc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,C
O=C(O)Cc1cc(F)cc(F)c1,CC(=O)c1ccc(N)cc1,C
Cc1cc(C)cc(C(=O)O)c1,CC(=O)c1ccc(N)cc1,B
CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,CC(=O)c1ccc(N)cc1,C
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,CC(=O)c1ccc(N)cc1,C
O=C(O)c1ccc(C(F)(F)F)cn1,CC(=O)c1ccc(N)cc1,A
O=C(O)C1(c2ccccc2)CC1,CC(=O)c1ccc(N)cc1,C
O=C(O)Cc1ccc(C(F)(F)F)cc1,CC(=O)c1ccc(N)cc1,C
O=C(O)C1c2ccccc2Oc2ccccc21,CC(=O)c1ccc(N)cc1,C
Cc1ccc2cc(C(=O)O)ccc2n1,CC(=O)c1ccc(N)cc1,A
O=C(O)c1ccco1,CC(=O)c1ccc(N)cc1,A
O=C(O)/C=C/c1ccccc1,CC(=O)c1ccc(N)cc1,C
Cn1ccnc1C(=O)O,CC(=O)c1ccc(N)cc1,A
O=C(O)c1ncccn1,CC(=O)c1ccc(N)cc1,A
Cc1ccc(CC(=O)O)cc1,COc1ccc(N)cn1,C
O=C(O)COc1ccccc1,COc1ccc(N)cn1,C
COc1ccc(CC(=O)O)cc1,COc1ccc(N)cn1,C
O=C(O)Cc1cc(F)cc(F)c1,COc1ccc(N)cn1,C
O=C(O)C1(c2ccccc2)CC1,COc1ccc(N)cn1,C
O=C(O)C(c1ccccc1)c1ccccc1,COc1ccc(N)cn1,C
O=C(O)Cc1ccc(C(F)(F)F)cc1,COc1ccc(N)cn1,C
O=C(O)COc1ccccc1,Cc1ccc(Nc2ccccc2)cc1,C
Cc1cc(C)cc(C(=O)O)c1,Cc1ccc(Nc2ccccc2)cc1,B
CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,Cc1ccc(Nc2ccccc2)cc1,C
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,Cc1ccc(Nc2ccccc2)cc1,C
Cc1cc(C)c(C(=O)O)c(C)c1,NCc1ccccc1,B
COc1cc(C(=O)O)cc(OC)c1OC,NCc1ccccc1,B
CC(C)(C(=O)O)c1ccccc1,NCc1ccccc1,C
O=C(O)C(c1ccccc1)c1ccccc1,NCc1ccccc1,C
O=C(O)Cc1ccc(C(F)(F)F)cc1,NCc1ccccc1,C
O=C(O)Cc1ccc2c(c1)OCO2,NCc1ccccc1,C
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,NCc1ccccc1,C
O=C(O)C1c2ccccc2Oc2ccccc21,NCc1ccccc1,C
O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,NCc1ccccc1,C
O=C(O)c1ccc([N+](=O)[O-])cc1,NCc1ccccc1,B
Cc1cc(C)cc(C(=O)O)c1,NCc1ccc(F)cc1F,B
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,NCc1ccc(F)cc1F,C
O=C(O)Cc1ccc(C(F)(F)F)cc1,NCc1ccc(F)cc1F,C
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,NCc1ccc(F)cc1F,C
O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,NCc1ccc(F)cc1F,C
Cc1ccc2cc(C(=O)O)ccc2n1,NCc1ccc(F)cc1F,A
O=C(O)c1ccco1,NCc1ccc(F)cc1F,A
O=C(O)Cc1c[nH]c2ccccc12,NCc1ccc(F)cc1F,C
O=C(O)COc1ccccc1,Cc1ccc(CN)cc1,C
COc1ccc(CC(=O)O)cc1,Cc1ccc(CN)cc1,C
Cc1cccc(C)c1C(=O)O,Cc1ccc(CN)cc1,B
Cc1cc(C)c(C(=O)O)c(C)c1,Cc1ccc(CN)cc1,B
CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,Cc1ccc(CN)cc1,C
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,Cc1ccc(CN)cc1,C
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,Cc1ccc(CN)cc1,C
O=C(O)C(c1ccccc1)c1ccccc1,Cc1ccc(CN)cc1,C
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,Cc1ccc(CN)cc1,C
O=C(O)C1c2ccccc2Oc2ccccc21,Cc1ccc(CN)cc1,C
O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,Cc1ccc(CN)cc1,C
O=C(O)c1ccc([N+](=O)[O-])cc1,Cc1ccc(CN)cc1,B
O=C(O)c1ccco1,Cc1ccc(CN)cc1,A
COc1cc(C(=O)O)cc(OC)c1OC,COc1ccc(CN)cc1,B
Cc1cc(C)cc(C(=O)O)c1,COc1ccc(CN)cc1,B
O=C(O)C1(c2ccccc2)CC1,COc1ccc(CN)cc1,C
CC(C)(C(=O)O)c1ccccc1,COc1ccc(CN)cc1,C
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,COc1ccc(CN)cc1,C
O=C(O)C(c1ccccc1)c1ccccc1,COc1ccc(CN)cc1,C
O=C(O)Cc1ccc2c(c1)OCO2,COc1ccc(CN)cc1,C
O=C(O)C1c2ccccc2Oc2ccccc21,COc1ccc(CN)cc1,C
