no_additive,with_additive,activator,additive,n_acids,mean_diff_pp,ci_lo_pp,ci_hi_pp,interaction_pp,p,label,headline,q_bh
C20,C19,HATU,HOAT,71,-8.926831805482959,-11.121649716277139,-6.8233233022807145,-6.481758442958531,0.006149692515374231,HATU + HOAT,True,0.12914354282285886
C33,C34,PyAOP,HOAT,71,-1.5052237579093615,-3.359388136188426,0.27471517757916236,-1.91561624621588,0.3635818209089546,PyAOP + HOAT,False,0.508699565021749
C2,C62,TFFH,DMAP,71,-1.0576496472400483,-2.3369228691516963,-0.020665369608733535,1.7902244083486274,0.184140792960352,TFFH + DMAP,False,0.40075688523266145
C11,C93,TPTU,HOBt,70,-0.2641919484093033,-1.4482659161199058,0.9992892703122891,0.3120753246520105,0.8297085145742713,TPTU + HOBt,False,0.8344082795860207
C35,C36,PyBOP,HOBt,71,-0.07606205905386902,-1.0739978935153363,1.0358054822368095,-1.4595224036404892,0.23083845807709613,PyBOP + HOBt,False,0.40075688523266145
C39,C38,PyBrOP,HOBt,71,0.025317534135028887,-0.6776467226421209,0.8715518908593323,-1.0239530818812717,0.24808759562021898,PyBrOP + HOBt,False,0.40075688523266145
C16,C15,PyClOP,HOBt,71,0.16046468834999675,-0.6459624176575837,1.0021612705087204,-0.19263672654085695,0.8344082795860207,PyClOP + HOBt,False,0.8344082795860207
C77,C82,DCC,DMAP,71,0.20356831396093653,-0.783054509049579,1.0984144759800774,-0.9680157724721059,0.3875806209689516,DCC + DMAP,False,0.508699565021749
C22,C21,HBTU,HOBt,71,0.2672340213349243,-0.9122878315478672,1.6291899679829895,-2.777186355389577,0.04534773261336933,HBTU + HOBt,False,0.40075688523266145
C47,C51,EDC-HCl,"2,4,5-TRICHLOROPHENOL SODIUM SALT",70,3.6821294406644967,1.4880348185787224,5.888289926999711,-3.193190717465085,0.21938903054847259,"EDC-HCl + 2,4,5-TRICHLOROPHENOL SODIUM SALT",False,0.40075688523266145
C47,C54,EDC-HCl,NHPI,71,7.202642849165041,4.327246100309019,10.194222505539516,3.5833985783751654,0.28513574321283935,EDC-HCl + NHPI,False,0.42770361481925906
C47,C53,EDC-HCl,NHS,71,11.494545441677474,7.937348662163093,15.25364671860272,1.0622132623266474,0.8005599720013999,EDC-HCl + NHS,False,0.8344082795860207
C47,C52,EDC-HCl,pentafluorophenol,71,18.848356519621234,15.191310053476478,22.470320168520473,1.2213725791882735,0.7720613969301535,EDC-HCl + pentafluorophenol,False,0.8344082795860207
C87,C91,EDC-HCl,Cl-HOBT,71,21.37853950383803,17.311156240351394,25.624676616784875,7.9548616253537405,0.09484525773711315,EDC-HCl + Cl-HOBT,False,0.40075688523266145
C87,C88,EDC-HCl,ethyl cyanoglyoxylate-2-oxime,71,23.121977429257306,18.04643599535236,28.122951636323094,10.821450228624329,0.05904704764761762,EDC-HCl + ethyl cyanoglyoxylate-2-oxime,True,0.40075688523266145
C87,C89,EDC-HCl,HOAT,70,24.262590229360836,19.549991553247683,29.014011980036468,7.538993665766308,0.15959202039898004,EDC-HCl + HOAT,False,0.40075688523266145
C77,C81,DCC,Cl-HOBT,69,28.621423938609414,24.15932489552998,33.13349968155306,6.458139313725475,0.21063946802659866,DCC + Cl-HOBT,False,0.40075688523266145
C77,C80,DCC,HOBt,71,29.309019674786192,24.810140646983783,33.93824277944544,6.9633794878489255,0.1768411579421029,DCC + HOBt,False,0.40075688523266145
C47,C60,EDC-HCl,HOBt,71,30.63361163962633,26.721888338227956,34.62063905328383,5.775777716577146,0.21778911054447278,EDC-HCl + HOBt,True,0.40075688523266145
C77,C79,DCC,HOAT,71,30.94160585329687,26.76866080931105,35.13664326399644,3.022938341047282,0.5395230238488076,DCC + HOAT,False,0.6664696176955858
C77,C78,DCC,ethyl cyanoglyoxylate-2-oxime,71,32.740386710821696,27.386288130992074,37.90813554159959,9.031294370478825,0.13164341782910854,DCC + ethyl cyanoglyoxylate-2-oxime,True,0.40075688523266145
