condition_id,activator,base,reagent_family,n_wells,mean_yield,z_hetero,z_carbocyclic,z_nonaromatic,z_gap,z_gap_residual
C48,TFFH,NMM,Haloformamidinium,574,0.027059507994912437,-0.4648970743304971,-0.2187104540891103,0.4419234430498201,-0.9068205173803172,-0.49149342040459876
C3,BTFFH,DIPEA,Haloformamidinium,564,0.15619318160698065,-0.4234773314773617,-0.20866692750249446,0.4080331824538545,-0.8315105139312162,-0.5908243194355032
C49,BTFFH,NMM,Haloformamidinium,539,0.14822284420720844,-0.2911231695924738,-0.3338557684618741,0.3910642062501838,-0.6821873758426575,-0.43072206481109865
C4,DCMT,DIPEA,Triazine,570,0.008748214833793799,-0.49557165399068476,0.32204544408830627,0.14871570129725395,-0.6442873552879387,-0.2041959913802614
C2,TFFH,DIPEA,Haloformamidinium,568,0.03104603749237537,-0.41399899272805224,0.09491272802799916,0.21829842946203457,-0.6322974221900868,-0.22236172383043795
C63,CDI,DBU,Other,566,0.13982939595374164,-0.30290977407808456,-0.23044454346906373,0.3284095949400914,-0.631319369018176,-0.3685027246209436
C50,DCMT,NMM,Triazine,575,0.014398212325810403,-0.31735681630982593,-0.0952694953202079,0.26185450182093994,-0.5792113181307659,-0.1467610336829649
C39,PyBrOP,DIPEA,Phosphorus,564,0.04179100607868852,-0.1963888932560094,-0.33902201392781073,0.3195800940336503,-0.5159689872896597,-0.12056482790465722
C43,DPP-Cl,DIPEA,Phosphorus,573,0.08594286545449151,-0.2503628897663279,-0.16558548183684108,0.25744247994237623,-0.5078053697087042,-0.17211236351775067
C87,EDC-HCl,none,Carbodiimide,572,0.16543117580456715,-0.28704254085437586,-0.05265937207312742,0.21799256422681837,-0.5050351050811942,-0.2768424113017868
C59,CITU,NMM,Aminium / uronium,562,0.08179218735257722,-0.2532738909483719,-0.12551189269310395,0.23681143057474013,-0.490085321523112,-0.14877892147952237
C47,EDC-HCl,NMM,Carbodiimide,570,0.06347636284435115,-0.375082681192825,0.284331658046017,0.0862114518819071,-0.4612941330747321,-0.09521733788702824
C5,COMU,"2,6-lutidine",Aminium / uronium,561,0.1982644087454346,-0.214658928756872,-0.18178194641308965,0.24312226685406035,-0.45778119561093233,-0.2739922988562652
C76,TCFH,NMI,Haloformamidinium,571,0.03770599668369131,-0.25338023461087694,-0.04955473803578758,0.1941553191085187,-0.44753555371939563,-0.04660681110659176
C77,DCC,none,Carbodiimide,574,0.06640717007032607,-0.13562747242785358,-0.3104612427061962,0.26363997780301357,-0.3992674502308672,-0.0371542905893556
C10,TNTU,DIPEA,Aminium / uronium,571,0.2238687646440673,-0.1797166114479825,-0.14492227543017996,0.1949289850850217,-0.3746455965330042,-0.22548413425363545
C92,HATU,none,Aminium / uronium,575,0.20622578372804018,-0.1778557674009291,-0.10403656216736823,0.17523841357600486,-0.35309418097693396,-0.18007227994888753
C94,HBPYU,none,Aminium / uronium,575,0.18104004669680965,-0.14503996432255478,-0.11734780648673739,0.16639031508177135,-0.3114302794043261,-0.1043470857503791
C44,DMTMM,DIPEA,Triazine,574,0.007630824643910427,-0.2703689949450244,0.30534303046942085,0.005857236948256062,-0.2762262318932805,0.16537629502653078
C12,TSTU,DIPEA,Aminium / uronium,568,0.19430350352555978,-0.01626762668643519,-0.42967528152677537,0.2523679758717834,-0.26863560255821856,-0.07948996156413052
C18,FDPP,DIPEA,Phosphorus,573,0.33550778735787434,-0.04403158350531339,-0.2821532516642089,0.18760693073647872,-0.2316385142417921,-0.2334581178097052
C11,TPTU,DIPEA,Aminium / uronium,567,0.3904798699845777,0.021137922807608643,-0.47913003849198765,0.2406660711063749,-0.21952814829876624,-0.29569221874813334
C45,PyCIU,DIPEA,Aminium / uronium,574,0.1043245849770133,-0.01228107136510357,-0.3346684209042248,0.1963104398419763,-0.20859151120707986,0.10224198315591049
C72,IBCF,NMM,Other,547,0.011721592553880722,-0.22029412238835278,0.3333943019649221,-0.04296627703791212,-0.17732784535044066,0.258742310502629
C24,TOTU,DIPEA,Aminium / uronium,567,0.3126273942873928,-0.05217724512498112,-0.06787395346205848,0.07242041593567741,-0.12459766106065853,-0.09547372849925698
C16,PyClOP,DIPEA,Phosphorus,569,0.08708209856991858,0.0047384781069675684,-0.20004387556036735,0.10941505374500912,-0.10467657563804156,0.22947572707992797
C61,PyAOP,NMM,Phosphorus,573,0.4272797641249026,0.006356242094240286,-0.11749071043823434,0.061917240747161734,-0.055560998652921446,-0.18149339477651752
C17,(EtO)2P(O)CN,DIPEA,Phosphorus,546,0.05964948025465163,-0.11775360153606698,0.27485040422259516,-0.07982198850804209,-0.03793161302802489,0.3333206736519901
C9,TDBTU,DIPEA,Aminium / uronium,540,0.3910819202641177,0.07510881670584262,-0.2722484221672119,0.10719956284474563,-0.03209074613890302,-0.10906903182133994
C46,BOPCl,DMAP,Phosphorus,571,0.09031463122209867,0.14070353456502976,-0.39873563697421005,0.13195210123969245,0.008751433325337316,0.33853204581037244
C33,PyAOP,DIPEA,Phosphorus,559,0.4368483933272895,0.09642201612881877,-0.18514312164508803,0.04086605784082406,0.055555958287994714,-0.08331709066966757
C6,TBTU,DIPEA,Aminium / uronium,559,0.4225693422137595,0.08405232196963028,-0.10844705293082195,0.005842130981017407,0.07821019098861287,-0.04135181149083672
C40,PyClocK,DIPEA,Phosphorus,573,0.3531950592274213,0.06560411446929909,-0.042919473417567716,-0.018910496323095022,0.08451461079239411,0.05877466921112631
C20,HATU,DIPEA,Aminium / uronium,576,0.49091704477023096,0.10022931562606477,-0.08550101069324054,-0.017681169864657287,0.11791048549072206,-0.09408522636150593
C14,BOP,DIPEA,Phosphorus,572,0.4226226143492708,0.09918617333078213,-0.06160215440985706,-0.02734014647619369,0.12652631980697582,0.0068922718759992785
