cond_x,cond_y,activator_x,activator_y,family_x,family_y,n_subpairs,n_acids_hetero,n_acids_nonarom,diff_enumeration_order,group,diff_oriented,is_target
C10,C11,TNTU,TPTU,other,other,560,21,32,-0.012754003632750033,background,,False
C10,C12,TNTU,TSTU,other,other,562,21,32,-0.012415691825281818,background,,False
C10,C13,TNTU,EDC-HCl,other,carbodiimide,565,21,32,-0.07639462964562482,background,,False
C10,C14,TNTU,BOP,other,other,565,20,32,-0.07389362557482454,background,,False
C10,C15,TNTU,PyClOP,other,other,569,21,32,-0.051259444039536195,background,,False
C10,C16,TNTU,PyClOP,other,other,562,21,32,-0.052266756302577974,background,,False
C10,C17,TNTU,(EtO)2P(O)CN,other,other,540,21,31,-0.044254811527185384,background,,False
C10,C18,TNTU,FDPP,other,other,566,21,32,-0.013882911825399205,background,,False
C10,C19,TNTU,HATU,other,other,570,21,32,-0.0068091199391158985,background,,False
C10,C2,TNTU,TFFH,other,haloformamidinium,562,21,32,-0.029593467523941375,background,,False
C10,C20,TNTU,HATU,other,other,569,21,32,-0.080887075424118,background,,False
C10,C21,TNTU,HBTU,other,other,570,21,32,-0.06602711111922888,background,,False
C10,C22,TNTU,HBTU,other,other,564,21,32,-0.09848512221889977,background,,False
C10,C23,TNTU,HCTU,other,other,567,21,32,-0.1078788654237623,background,,False
C10,C24,TNTU,TOTU,other,other,560,21,32,-0.03876644686774122,background,,False
C10,C25,TNTU,EDC-HCl,other,carbodiimide,532,21,31,0.031907704968752185,background,,False
C10,C26,TNTU,EDC-HCl,other,carbodiimide,567,21,32,-0.020222789478990873,background,,False
C10,C27,TNTU,EDC-HCl,other,carbodiimide,563,21,32,0.000474621368579503,background,,False
C10,C28,TNTU,EDC-HCl,other,carbodiimide,567,21,32,-0.03005175485919074,background,,False
C10,C29,TNTU,DCC,other,carbodiimide,547,21,32,-0.016223906739043864,background,,False
C10,C3,TNTU,BTFFH,other,haloformamidinium,557,21,31,0.0332005541522569,background,,False
C10,C30,TNTU,DCC,other,carbodiimide,561,21,32,-0.015120181279483037,background,,False
C10,C31,TNTU,DCC,other,carbodiimide,568,21,32,0.007042026928209856,background,,False
C10,C32,TNTU,DCC,other,carbodiimide,565,21,32,-0.02971845498166714,background,,False
C10,C33,TNTU,PyAOP,other,other,552,21,32,-0.0657342292542624,background,,False
C10,C34,TNTU,PyAOP,other,other,567,21,32,-0.0553510487692673,background,,False
C10,C35,TNTU,PyBOP,other,other,567,21,32,-0.09036943204965334,background,,False
C10,C36,TNTU,PyBOP,other,other,565,21,32,-0.06667697340995057,background,,False
C10,C37,TNTU,PyOxim,other,other,570,21,32,-0.11834241791644773,background,,False
C10,C38,TNTU,PyBrOP,other,other,565,21,32,-0.026694752794373278,background,,False
C10,C39,TNTU,PyBrOP,other,other,558,21,32,-0.026380101182225252,background,,False
C10,C4,TNTU,DCMT,other,other,564,21,31,-0.03827693633659243,background,,False
C10,C40,TNTU,PyClocK,other,other,566,21,32,-0.06980580530501702,background,,False
C10,C41,TNTU,EEDQ,other,quinoline,560,21,32,-0.15262230390695783,background,,False
C10,C42,TNTU,DEPBT,other,other,566,21,32,-0.13226391195708959,background,,False
C10,C43,TNTU,DPP-Cl,other,other,566,21,32,-0.024384330538431587,background,,False
C10,C44,TNTU,DMTMM,other,other,567,21,31,-0.03543812257565715,background,,False
C10,C45,TNTU,PyCIU,other,other,567,21,32,-0.03769879195001648,background,,False
C10,C46,TNTU,BOPCl,other,other,564,21,32,-0.05624814684891716,background,,False
C10,C47,TNTU,EDC-HCl,other,carbodiimide,563,21,32,-0.021491631478081724,background,,False
C10,C48,TNTU,TFFH,other,haloformamidinium,568,21,31,-0.018166651190656635,background,,False
C10,C49,TNTU,BTFFH,other,haloformamidinium,532,21,31,0.0419008335715221,background,,False
C10,C5,TNTU,COMU,other,other,554,21,32,-0.016915279313337195,background,,False
C10,C50,TNTU,DCMT,other,other,568,21,32,-0.049427816834340804,background,,False
C10,C51,TNTU,EDC-HCl,other,carbodiimide,546,21,32,0.035897370211314006,background,,False
C10,C52,TNTU,EDC-HCl,other,carbodiimide,565,21,32,-0.004859216467907428,background,,False
C10,C53,TNTU,EDC-HCl,other,carbodiimide,560,21,32,0.015838291142961147,background,,False
C10,C54,TNTU,EDC-HCl,other,carbodiimide,560,21,32,-0.034084975419062684,background,,False
C10,C55,TNTU,DCC,other,carbodiimide,544,21,31,-0.02186976736623472,background,,False
C10,C56,TNTU,DCC,other,carbodiimide,565,21,32,0.013744698690550339,background,,False
C10,C57,TNTU,DCC,other,carbodiimide,560,21,32,0.026401834694509595,background,,False
C10,C58,TNTU,DCC,other,carbodiimide,564,21,31,-0.004263374638008421,background,,False
C10,C59,TNTU,CITU,other,other,556,21,32,-0.026501704077459207,background,,False
C10,C6,TNTU,TBTU,other,other,552,21,32,-0.07662081971779533,background,,False
C10,C60,TNTU,EDC-HCl,other,carbodiimide,566,21,32,-0.07544500102040452,background,,False
C10,C61,TNTU,PyAOP,other,other,566,21,32,-0.04621508724795653,background,,False
C10,C62,TNTU,TFFH,other,haloformamidinium,565,21,32,-0.05199206340567458,background,,False
